epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3597,1.33315,4.0065,1.35578,0.00341,0.68668,0.04167,0.0271,1.26789,3.43333,1.55407,0.000270725,0.000270725,0.000270725
2,89.6018,1.30377,3.33099,1.34908,0.687,0.02333,0.07311,0.03179,1.73833,3.50459,2.08591,0.000545376,0.000545376,0.000545376
3,128.766,1.38427,3.41236,1.40818,0.04279,0.0933,0.04531,0.02719,1.51849,3.51608,1.839,0.000816972,0.000816972,0.000816972
4,170.338,1.38534,3.17688,1.38202,0.16918,0.12626,0.05294,0.02663,1.77535,5.10614,2.30665,0.000819255,0.000819255,0.000819255
5,214.217,1.37234,3.17008,1.37483,0.17627,0.15893,0.07269,0.04935,1.67611,3.55412,1.97854,0.000814674,0.000814674,0.000814674
6,264.453,1.42042,3.07542,1.41006,0.15427,0.1905,0.04285,0.02816,1.7357,4.06779,1.97224,0.000810092,0.000810092,0.000810092
7,305.718,1.34875,3.09673,1.40049,0.47803,0.1508,0.05987,0.02976,1.83709,3.9197,2.13724,0.000805511,0.000805511,0.000805511
8,349.519,1.36868,2.96087,1.38236,0.61248,0.07314,0.07559,0.0466,1.69814,3.57552,1.96422,0.000800929,0.000800929,0.000800929
9,396.5,1.35656,3.07833,1.3936,0.03599,0.14552,0.06005,0.04075,1.58324,4.09061,1.88631,0.000796348,0.000796348,0.000796348
10,445.506,1.36657,2.92587,1.37688,0.07983,0.13294,0.06088,0.03907,1.58636,4.84672,1.90512,0.000791767,0.000791767,0.000791767
11,492.418,1.3937,2.75232,1.3461,0.19549,0.2895,0.07068,0.04352,1.66336,5.19791,1.90771,0.000787185,0.000787185,0.000787185
12,534.655,1.32275,2.93852,1.37163,0.17939,0.08098,0.04729,0.02557,1.7508,3.78616,1.99599,0.000782603,0.000782603,0.000782603
13,588.813,1.32125,2.78552,1.36657,0.54113,0.08024,0.07597,0.045,1.6051,4.09009,1.95422,0.000778022,0.000778022,0.000778022
14,640.949,1.28598,2.64709,1.35676,0.3348,0.08176,0.07236,0.0451,1.68251,3.68164,2.05988,0.00077344,0.00077344,0.00077344
15,688.432,1.33063,2.69649,1.37268,0.10601,0.20198,0.0838,0.03859,1.96462,4.1108,2.17488,0.000768859,0.000768859,0.000768859
