epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9581,1.33327,4.00077,1.3598,0.00355,0.67861,0.04671,0.03184,1.2463,3.43607,1.50316,0.000270725,0.000270725,0.000270725
2,56.8204,1.30498,3.38289,1.36388,0.69419,0.06941,0.05394,0.03654,1.39151,3.32075,1.74631,0.000537534,0.000537534,0.000537534
3,82.6145,1.36033,3.43328,1.40913,0.7883,0.03309,0.04575,0.02327,1.78117,4.67311,2.097,0.000793346,0.000793346,0.000793346
4,106.836,1.38096,3.20624,1.37789,0.27516,0.07447,0.02393,0.01012,1.9188,4.35627,2.42178,0.00078352,0.00078352,0.00078352
5,130.705,1.39171,3.23346,1.39071,0.15078,0.17136,0.04017,0.01869,1.75336,4.63082,2.08292,0.000767026,0.000767026,0.000767026
6,154.535,1.41743,3.076,1.41177,0.55158,0.11866,0.05224,0.02578,1.93994,4.40806,2.1657,0.000750533,0.000750533,0.000750533
7,177.969,1.34189,3.07463,1.39516,0.04745,0.1094,0.04806,0.02915,1.71817,4.50118,2.13701,0.00073404,0.00073404,0.00073404
8,202.098,1.34455,2.94425,1.36804,0.44108,0.05006,0.06201,0.02949,1.7444,7.10259,2.05712,0.000717546,0.000717546,0.000717546
9,225.53,1.34863,3.01152,1.40305,0.16351,0.12587,0.02483,0.01589,1.70286,4.1268,1.98416,0.000701053,0.000701053,0.000701053
10,251.745,1.35215,2.91127,1.36154,0.4814,0.14331,0.12014,0.075,1.58282,6.97017,1.9627,0.000684559,0.000684559,0.000684559
11,279.457,1.40674,2.78133,1.35342,0.0627,0.21698,0.08725,0.04436,1.70151,5.27642,1.9361,0.000668066,0.000668066,0.000668066
12,303.049,1.29618,2.98275,1.3527,0.54777,0.08976,0.05665,0.03552,1.53617,3.53557,1.80746,0.000651573,0.000651573,0.000651573
13,327.126,1.27265,2.71714,1.3348,0.30825,0.13646,0.06982,0.04076,1.50753,3.74498,1.74468,0.000635079,0.000635079,0.000635079
14,349.92,1.24182,2.6031,1.34057,0.77582,0.08931,0.11628,0.085,1.42698,4.07305,1.68904,0.000618586,0.000618586,0.000618586
15,374.454,1.28598,2.62835,1.3419,0.08224,0.16236,0.08409,0.05521,1.71986,3.84052,2.04942,0.000602092,0.000602092,0.000602092
16,397.887,1.19626,2.4662,1.30233,0.52802,0.1306,0.10368,0.06948,1.5621,4.13029,1.92481,0.000585599,0.000585599,0.000585599
17,423.208,1.22766,2.48389,1.28835,0.05766,0.09642,0.06855,0.04743,1.39214,3.50639,1.71362,0.000569106,0.000569106,0.000569106
18,447.171,1.14342,2.28628,1.27694,0.31122,0.07856,0.07847,0.04539,1.55604,4.15618,1.8741,0.000552612,0.000552612,0.000552612
19,471.848,1.20324,2.38717,1.29979,0.08076,0.23213,0.106,0.07117,1.38004,3.74245,1.62766,0.000536119,0.000536119,0.000536119
20,498.603,1.1969,2.24419,1.26969,0.0817,0.18322,0.07885,0.05139,1.47691,4.32168,1.79699,0.000519625,0.000519625,0.000519625
21,523.826,1.26112,2.25459,1.28293,0.09482,0.13477,0.10803,0.07467,1.3503,3.9463,1.62343,0.000503132,0.000503132,0.000503132
22,547.848,1.12666,2.162,1.2422,0.12734,0.21834,0.12012,0.08809,1.33425,3.38358,1.62302,0.000486639,0.000486639,0.000486639
23,572.462,1.15268,2.21436,1.27169,0.10056,0.20478,0.13328,0.08781,1.43322,4.28696,1.74036,0.000470145,0.000470145,0.000470145
24,595.325,1.1442,2.10173,1.24186,0.09124,0.18267,0.10932,0.07444,1.35614,4.07676,1.65348,0.000453652,0.000453652,0.000453652
